method,rtt_ms,method_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,upload_wait_share_percent,upload_wait_per_round_ms,upload_wait_per_generated_token_ms,speedup_vs_target_only
target-only-sampling / kv-cache,0.0,0.926321839913726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4020149,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9653419144451618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5000138,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9584648478776217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5010145,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9455852285027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5020152,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9461943227797748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6000141,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9732606802135706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6010148,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9423514101654292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6020155,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.0634306203573942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7000144,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.929067261517048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7010151,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.3383375499397516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7020158,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.135969432070851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8000147,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9645480401813984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8010154,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9449938833713531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8020161,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,0.9957734402269124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9000150,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.1239293161779642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9010157,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,0.0,1.1003812849521637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9020164,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.952108547091484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,123,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9761549457907676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,10130,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9313504695892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,20137,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.25751412846148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1000126,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9571876004338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1010133,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9851565752178432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1020140,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.935472384095192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2000129,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9713849276304244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2010136,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9912082776427268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2020143,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9327530656009912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3000132,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.3460441455245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3010139,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.0139182601124048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3020146,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9563081879168748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4000135,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9544175527989864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4010142,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.926321839913726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4020149,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9653419144451618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5000138,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9584648478776217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5010145,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9455852285027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5020152,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9461943227797748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6000141,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9732606802135706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6010148,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9423514101654292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6020155,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.0634306203573942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7000144,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.929067261517048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7010151,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.3383375499397516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7020158,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.135969432070851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8000147,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9645480401813984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8010154,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9449938833713531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8020161,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,0.9957734402269124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9000150,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.1239293161779642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9010157,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,5.0,1.1003812849521637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9020164,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.952108547091484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,123,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9761549457907676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,10130,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9313504695892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,20137,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.25751412846148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1000126,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9571876004338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1010133,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9851565752178432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1020140,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.935472384095192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2000129,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9713849276304244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2010136,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9912082776427268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2020143,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9327530656009912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3000132,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.3460441455245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3010139,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.0139182601124048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3020146,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9563081879168748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4000135,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9544175527989864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4010142,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.926321839913726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4020149,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9653419144451618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5000138,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9584648478776217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5010145,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9455852285027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5020152,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9461943227797748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6000141,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9732606802135706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6010148,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9423514101654292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6020155,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.0634306203573942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7000144,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.929067261517048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7010151,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.3383375499397516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7020158,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.135969432070851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8000147,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9645480401813984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8010154,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9449938833713531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8020161,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,0.9957734402269124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9000150,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.1239293161779642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9010157,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,10.0,1.1003812849521637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9020164,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.952108547091484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,123,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9761549457907676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,10130,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9313504695892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,20137,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,1.25751412846148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1000126,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9571876004338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1010133,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9851565752178432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,1020140,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.935472384095192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2000129,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9713849276304244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2010136,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9912082776427268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,2020143,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9327530656009912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3000132,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,1.3460441455245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3010139,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,1.0139182601124048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,3020146,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9563081879168748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4000135,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9544175527989864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4010142,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.926321839913726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,4020149,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9653419144451618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5000138,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9584648478776217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5010145,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9455852285027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,5020152,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9461943227797748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6000141,per-repeat,0.0,0.0,0.0,1.0
target-only-sampling / kv-cache,20.0,0.9732606802135706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6010148,per-repeat,0.0,0.0,0.0,1.0
